x, y, time_span
367,344 ,5.65997  
367,344 ,24.653  
368,344 ,9.32336  
369,346 ,5.18351  
369,345 ,21.62  
369,344 ,20.4904  
370,345 ,16.3552  
371,346 ,19.3388  
372,347 ,30.4012  
373,348 ,16.4581  
370,345 ,15.754  
367,344 ,9.54772  
364,343 ,14.6709  
364,342 ,10.9317  
347,346 ,187.103  
280,319 ,30.3357  
296,324 ,8.78419  
293,327 ,10.4805  
284,339 ,9.69263  
279,345 ,4.56489  
282,354 ,24.5445  
285,352 ,6.81703  
284,353 ,20.2013  
282,358 ,23.0369  
280,355 ,33.581  
280,358 ,19.519  
279,358 ,18.9826  
279,358 ,13.0106  
281,361 ,16.1058  
281,360 ,15.2679  
282,365 ,11.2362  
281,367 ,11.5624  
270,354 ,10.1604  
295,353 ,25.5417  
299,352 ,8.54934  
299,350 ,3.30058  
297,351 ,21.2343  
294,354 ,20.416  
287,351 ,15.6111  
281,351 ,18.741  
278,350 ,17.7427  
276,353 ,13.8624  
275,361 ,31.7776  
275,362 ,9.47805  
275,360 ,12.6584  
272,364 ,10.7342  
271,363 ,6.55454  
270,363 ,24.7264  
278,360 ,7.97275  
277,360 ,21.029  
276,358 ,22.4145  
274,357 ,34.6025  
274,358 ,20.0161  
276,361 ,19.41  
275,359 ,13.6699  
280,361 ,15.9713  
280,361 ,17.163  
279,358 ,12.4048  
277,357 ,15.0416  
278,358 ,14.9362  
275,358 ,29.3912  
272,359 ,12.9591  
271,361 ,7.03292  
268,364 ,25.3442  
270,362 ,8.8698  
271,364 ,5.80507  
270,363 ,30.5492  
270,362 ,7.15357  
271,361 ,19.9486  
273,363 ,36.7249  
275,364 ,14.5126  
278,366 ,14.6835  
278,364 ,15.235  
275,359 ,9.9995  
275,360 ,13.0887  
275,360 ,11.1132  
274,359 ,7.4053  
275,360 ,25.0358  
275,361 ,20.4732  
277,363 ,21.9784  
278,361 ,21.5117  
278,361 ,16.6051  
280,361 ,17.8015  
277,358 ,16.9528  
276,358 ,13.7269  
278,361 ,15.0593  
279,362 ,14.3026  
278,359 ,29.8678  
282,364 ,12.6518  
281,363 ,6.39506  
272,354 ,24.7384  
274,354 ,8.32389  
275,354 ,3.72174  
275,356 ,21.853  
277,358 ,21.6856  
279,361 ,17.6784  
281,363 ,35.8257  
283,363 ,13.5921  
284,363 ,16.1091  
285,363 ,15.1116  
285,364 ,10.6591  
286,363 ,12.9978  
286,363 ,12.0205  
286,363 ,9.36843  
285,363 ,11.2397  
282,363 ,22.6515  
277,362 ,24.2555  
278,362 ,7.99058  
279,362 ,17.5961  
279,361 ,19.925  
281,360 ,20.3272  
267,364 ,14.656  
268,366 ,17.4005  
271,363 ,16.5087  
274,360 ,31.9806  
273,360 ,14.7651  
274,355 ,8.56219  
278,350 ,11.2849  
277,351 ,10.2182  
265,352 ,5.91923  
265,351 ,24.1886  
265,353 ,7.65048  
265,354 ,20.1303  
271,352 ,37.6999  
272,353 ,15.6878  
276,354 ,18.4049  
278,359 ,17.047  
278,361 ,13.4964  
279,364 ,15.4626  
279,364 ,14.253  
279,363 ,10.6529  
278,364 ,13.116  
277,362 ,23.8466  
276,359 ,26.1506  
269,356 ,8.81573  
270,358 ,5.29854  
271,356 ,22.0014  
271,357 ,21.282  
272,358 ,16.643  
271,356 ,18.9415  
276,355 ,18.864  
274,351 ,33.9104  
272,351 ,17.4847  
270,351 ,11.683  
269,350 ,13.9857  
268,351 ,12.6753  
269,351 ,8.11972  
271,354 ,9.9589  
270,354 ,10.746  
270,354 ,5.88346  
273,352 ,39.8439  
274,351 ,18.9185  
273,347 ,20.3428  
272,347 ,19.2496  
272,347 ,14.7535  
275,351 ,17.1187  
275,352 ,16.1375  
275,352 ,12.2987  
276,352 ,14.1028  
277,353 ,26.8301  
278,353 ,12.9425  
279,353 ,11.4922  
280,353 ,5.44756  
279,353 ,24.0869  
278,352 ,6.96114  
278,352 ,18.6755  
278,353 ,20.9526  
277,355 ,20.2245  
272,354 ,35.4386  
274,356 ,18.2034  
278,352 ,13.2523  
279,347 ,14.9383  
275,344 ,14.3737  
273,342 ,9.46318  
276,342 ,11.8177  
275,344 ,11.3672  
274,343 ,9.3575  
283,347 ,26.3292  
282,347 ,4.58567  
280,348 ,22.5091  
285,349 ,21.2435  
285,348 ,16.6277  
280,343 ,18.9612  
280,344 ,18.0839  
280,345 ,14.2118  
280,346 ,16.131  
279,346 ,28.7252  
278,346 ,14.6213  
278,349 ,12.5615  
279,349 ,7.42695  
278,350 ,26.2331  
277,350 ,9.07182  
274,348 ,4.87423  
269,341 ,22.8909  
270,342 ,22.546  
275,342 ,37.9367  
286,343 ,20.7178  
288,344 ,14.381  
291,345 ,17.7303  
291,345 ,16.108  
288,343 ,13.8657  
278,340 ,13.9275  
276,335 ,13.9684  
276,335 ,9.94786  
275,336 ,28.3069  
276,336 ,6.6801  
277,338 ,24.453  
278,341 ,7.26609  
280,342 ,18.8059  
281,343 ,21.1185  
281,344 ,20.3571  
281,344 ,16.2853  
281,345 ,18.0697  
277,344 ,31.9692  
275,344 ,17.864  
281,348 ,17.3433  
281,348 ,10.7235  
284,346 ,12.1979  
283,345 ,12.0977  
286,345 ,7.59816  
285,346 ,25.0726  
285,345 ,9.75322  
286,345 ,23.5466  
249,209 ,210.859  
292,366 ,20.934  
289,356 ,28.9327  
283,349 ,-0.885447  
283,349 ,10.7301  
