data.circle, data.color
Bottom-Right,Yellow
Center,Orange
Top-Left,Red
Bottom-Left,Green
Top-Right,Blue
Center,Orange
Top-Left,Red
Center,Orange
Bottom-Left,Green
Bottom-Left,Green
Center,Blue
Top-Right,Yellow
Center,Blue
Center,Blue
Center,Blue
Top-Left,Orange
Top-Right,Yellow
Center,Blue
Bottom-Left,Red
Top-Right,Yellow
Top-Right,Yellow
Bottom-Right,Blue
Center,Green
Top-Right,Yellow
Bottom-Right,Blue
Top-Left,Orange
Bottom-Left,Red
Bottom-Right,Blue
Bottom-Right,Blue
Center,Green
Top-Right,Yellow
Center,Green
Center,Green
Bottom-Right,Blue
Center,Yellow
Top-Right,Red
Center,Yellow
Center,Yellow
Top-Right,Red
Top-Left,Orange
Center,Yellow
Top-Left,Orange
Top-Right,Red
Top-Right,Red
Bottom-Left,Green
Bottom-Left,Green
Bottom-Right,Yellow
Bottom-Right,Yellow
Top-Left,Orange
Top-Right,Red
Top-Right,Red
Top-Left,Orange
Top-Left,Orange
Bottom-Right,Yellow
Bottom-Right,Yellow
Bottom-Left,Green
Top-Left,Orange
Bottom-Left,Green
Bottom-Left,Green
Bottom-Right,Red
Bottom-Right,Red
Bottom-Left,Green
Top-Right,Blue
Center,Yellow
Top-Left,Orange
Top-Left,Orange
Center,Yellow
Bottom-Right,Red
Top-Right,Blue
Top-Right,Blue
Bottom-Right,Red
Bottom-Right,Red
Bottom-Left,Green
Center,Red
Top-Left,Orange
Bottom-Left,Green
Top-Right,Blue
Top-Right,Blue
Bottom-Right,Yellow
Top-Right,Blue
Top-Right,Blue
Center,Blue
Bottom-Right,Red
Center,Blue
Bottom-Right,Red
Top-Right,Yellow
Top-Left,Orange
Center,Blue
Top-Left,Orange
Bottom-Right,Red
Top-Right,Yellow
Bottom-Right,Red
Center,Blue
Top-Left,Orange
Bottom-Left,Green
Center,Red
Top-Right,Yellow
Top-Right,Yellow
Bottom-Left,Green
Top-Right,Yellow
Bottom-Left,Green
Top-Right,Yellow
Center,Red
Top-Left,Orange
Top-Right,Yellow
Bottom-Left,Blue
Top-Right,Red
Bottom-Right,Green
Top-Right,Red
Top-Left,Orange
Bottom-Right,Green
Center,Yellow
Center,Yellow
Center,Yellow
Top-Right,Red
Bottom-Right,Green
Top-Left,Orange
Top-Right,Red
Center,Green
Center,Green
Bottom-Right,Yellow
Top-Left,Orange
Center,Green
Bottom-Left,Blue
Top-Right,Red
Bottom-Right,Yellow
Center,Green
Bottom-Right,Yellow
Bottom-Right,Yellow
Bottom-Right,Yellow
Bottom-Left,Blue
Top-Left,Red
Bottom-Left,Blue
Top-Right,Orange
Center,Yellow
Center,Yellow
Center,Yellow
Center,Yellow
Top-Right,Orange
Center,Yellow
Top-Left,Red
Center,Yellow
Center,Yellow
Bottom-Right,Red
Bottom-Left,Blue
Center,Yellow
Top-Left,Orange
Bottom-Right,Red
Bottom-Right,Red
Top-Right,Green
Center,Yellow
Bottom-Right,Red
Center,Yellow
Top-Right,Green
Top-Right,Green
Bottom-Right,Yellow
Top-Left,Orange
Top-Right,Green
Center,Red
Top-Left,Orange
Bottom-Right,Yellow
Center,Red
Bottom-Right,Yellow
Center,Red
Center,Red
Top-Left,Orange
Top-Left,Orange
Center,Green
Top-Right,Yellow
Center,Green
Top-Right,Yellow
Top-Right,Yellow
Top-Left,Orange
Top-Right,Yellow
Center,Green
Top-Right,Yellow
Top-Right,Yellow
Top-Right,Yellow
Bottom-Right,Green
Bottom-Left,Blue
Center,Red
Top-Left,Orange
Center,Red
Bottom-Left,Blue
Top-Right,Yellow
Bottom-Right,Green
Top-Right,Yellow
Bottom-Right,Green
Bottom-Right,Green
Center,Blue
Center,Blue
Bottom-Right,Green
Center,Blue
Center,Blue
Bottom-Right,Green
Bottom-Right,Green
Top-Right,Red
Center,Blue
Top-Right,Red
Center,Blue
Top-Left,Orange
Top-Right,Red
Top-Left,Orange
Center,Green
Top-Right,Red
Top-Right,Red
Top-Left,Orange
Bottom-Left,Yellow
Center,Green
Top-Right,Red
Top-Right,Red
Center,Green
Bottom-Right,Blue
Bottom-Right,Blue
Center,Blue
Top-Right,Green
Center,Blue
Bottom-Left,Yellow
Bottom-Left,Yellow
Center,Blue
Top-Left,Orange
Bottom-Right,Red
Center,Blue
Bottom-Right,Red
Center,Blue
Bottom-Right,Blue
Bottom-Left,Yellow
Center,Red
Bottom-Left,Yellow
Bottom-Left,Yellow
Top-Right,Green
Center,Red
Top-Left,Orange
Top-Left,Orange
Bottom-Right,Blue
Top-Left,Orange
Top-Left,Orange
Top-Left,Orange
Center,Green
Bottom-Right,Red
Bottom-Right,Red
Bottom-Right,Red
Top-Right,Blue
Center,Green
Center,Green
Top-Right,Blue
Bottom-Right,Red
Top-Right,Blue
Bottom-Left,Yellow
Top-Left,Orange
Top-Left,Orange
Center,Red
Center,Red
Center,Red
Bottom-Left,Yellow
Bottom-Right,Green
Bottom-Left,Yellow
Bottom-Right,Green
Top-Left,Red
Top-Left,Red
Center,Green
Center,Green
Bottom-Left,Blue
Center,Green
Center,Green
Bottom-Left,Blue
Bottom-Right,Yellow
Bottom-Left,Blue
Bottom-Left,Blue
Top-Left,Red
Center,Orange
Top-Left,Red
Bottom-Right,Blue
Top-Left,Red
Top-Right,Green
Center,Orange
Bottom-Left,Yellow
Top-Right,Green
Bottom-Right,Blue
Top-Right,Green
Bottom-Right,Orange
Top-Left,Red
Top-Right,Green
Center,Blue
Center,Blue
Bottom-Right,Orange
Bottom-Left,Yellow
Top-Left,Red
Center,Blue
Bottom-Left,Yellow
Top-Left,Red
Center,Orange
Bottom-Left,Yellow
Center,Orange
Top-Left,Red
Bottom-Right,Green
Bottom-Right,Green
Bottom-Left,Yellow
Center,Orange
Center,Orange
Center,Orange
Bottom-Right,Green
Center,Green
Bottom-Right,Orange
Top-Left,Red
Top-Left,Red
Center,Green
Top-Right,Blue
Center,Green
Top-Left,Red
Center,Green
Top-Right,Blue
Center,Green
Center,Blue
Center,Blue
Center,Blue
Bottom-Left,Yellow
Top-Left,Red
Top-Right,Orange
Top-Left,Red
Top-Left,Red
Bottom-Right,Green
Top-Left,Red
Top-Right,Orange
