"data.circle","data.time_span","data.color"
"bottom-left",2508.34011,"Green"
"bottom-right",3010.81093,"Yellow"
"center",12736.236054,"Orange"
"none",20628.32913,"white"
"top-left",13217.55146,"Red"
"top-right",2299.42334,"Blue"
"bottom-left",4744.00629,"Red"
"bottom-right",8968.41463,"Green"
"center",13021.9635,"Blue"
"none",11775.70626,"white"
"top-left",8667.85908,"Orange"
"top-right",5153.90558,"Yellow"
"bottom-left",3979.71723,"Red"
"bottom-right",7974.07437,"Blue"
"center",13712.62415,"Green"
"none",20438.77831,"white"
"top-left",4295.258786,"Orange"
"top-right",7195.37524,"Yellow"
"bottom-left",7109.2685,"Green"
"bottom-right",4997.86909,"Blue"
"center",11444.59069,"Yellow"
"none",22370.28326,"white"
"top-left",3750.09127,"Orange"
"top-right",7918.44667,"Red"
"bottom-left",5555.53849,"Green"
"bottom-right",8659.96225,"Yellow"
"center",11056.52538,"Blue"
"none",13914.42216,"white"
"top-left",4696.50804,"Orange"
"top-right",10577.55714,"Red"
"bottom-left",4485.9618,"Green"
"bottom-right",7551.79593,"Red"
"center",11123.4726,"Yellow"
"none",20450.75212,"white"
"top-left",6380.09783,"Orange"
"top-right",7949.67102,"Blue"
"bottom-left",1042.08915,"Green"
"bottom-right",8761.86512,"Yellow"
"center",16523.52588,"Red"
"none",15550.17432,"white"
"top-left",7070.78114,"Orange"
"top-right",5461.98516,"Blue"
"bottom-left",4128.1654,"Green"
"bottom-right",7811.35237,"Red"
"center",17540.77887,"Blue"
"none",7742.37223,"white"
"top-left",11062.75103,"Orange"
"top-right",5980.79438,"Yellow"
"bottom-left",2982.20434,"Green"
"bottom-right",6857.87713,"Blue"
"center",16500.792099,"Red"
"none",15768.921967,"white"
"top-left",7922.8028,"Orange"
"top-right",3987.48945,"Yellow"
"bottom-left",6931.65354,"Blue"
"bottom-right",5324.396239,"Green"
"center",15102.10404,"Yellow"
"none",11869.42178,"white"
"top-left",4380.93384,"Orange"
"top-right",10985.5317,"Red"
"bottom-left",7240.5044,"Blue"
"bottom-right",6221.2099,"Yellow"
"center",8310.466322,"Green"
"none",19866.096718,"white"
"top-left",2767.61654,"Orange"
"top-right",6200.2223,"Red"
"bottom-left",3159.69445,"Blue"
"bottom-right",2748.00677,"Green"
"center",11986.28547,"Yellow"
"none",19527.03455,"white"
"top-left",6984.1790884,"Red"
"top-right",9844.2625,"Orange"
"bottom-left",5727.29779,"Blue"
"bottom-right",5294.38675,"Red"
"center",16139.80408,"Yellow"
"none",16680.067554,"white"
"top-left",6261.17739,"Orange"
"top-right",7650.8852,"Green"
"bottom-left",5500.60847,"Blue"
"bottom-right",4021.59326,"Yellow"
"center",18551.113327,"Red"
"none",12276.0246,"white"
"top-left",7758.17081,"Orange"
"top-right",6350.4737,"Green"
"bottom-left",1564.36426,"Blue"
"bottom-right",3168.87018,"Red"
"center",12290.85208,"Green"
"none",22033.43796,"white"
"top-left",4863.727034,"Orange"
"top-right",10553.2339,"Yellow"
"bottom-left",6248.48022,"Blue"
"bottom-right",6468.35895,"Green"
"center",16000.75278,"Red"
"none",17140.91325,"white"
"top-left",2343.02317,"Orange"
"top-right",6099.86789,"Yellow"
"bottom-left",2260.79177,"Yellow"
"bottom-right",3185.61478,"Green"
"center",14093.11206,"Blue"
"none",9821.98455,"white"
"top-left",9385.065983,"Orange"
"top-right",11627.71741,"Red"
"bottom-left",5044.20093,"Yellow"
"bottom-right",9713.305042,"Blue"
"center",12773.376,"Green"
"none",16561.777744,"white"
"top-left",4352.32563,"Orange"
"top-right",9258.99605,"Red"
"bottom-left",2060.87434,"Yellow"
"bottom-right",11045.8881,"Red"
"center",13444.62328,"Blue"
"none",16509.516889,"white"
"top-left",5172.34231,"Orange"
"top-right",6194.784772,"Green"
"bottom-left",5458.2944385,"Yellow"
"bottom-right",3568.8591,"Blue"
"center",15045.66357,"Red"
"none",21926.02494,"white"
"top-left",5980.81024,"Orange"
"top-right",1723.57562,"Green"
"bottom-left",1329.45214,"Yellow"
"bottom-right",13878.736078,"Red"
"center",15132.85346,"Green"
"none",13539.93926,"white"
"top-left",5793.23253,"Orange"
"top-right",4679.490268,"Blue"
"bottom-left",1258209.01118,"Yellow"
"bottom-right",802377.41067,"Green"
"center",1929540.450453,"Red"
"none",1121813.437998,"white"
"top-left",540503.23327,"Orange"
"top-right",936315.87533,"Blue"
"bottom-left",3809.71449,"Blue"
"bottom-right",4512.98727,"Yellow"
"center",12694.27878,"Green"
"none",12740.5532,"white"
"top-left",10934.68964,"Red"
"top-right",9612.22123,"Orange"
"bottom-left",3015.0167,"Yellow"
"bottom-right",2536.57172,"Blue"
"center",11212.871222,"Orange"
"none",24379.7090296,"white"
"top-left",9593.44271,"Red"
"top-right",6828.99036,"Green"
"bottom-left",4505.13263,"Yellow"
"bottom-right",11037.31333,"Orange"
"center",7484.810329,"Blue"
"none",19552.341858,"white"
"top-left",5288.61611,"Red"
"top-right",6593.87433,"Green"
"bottom-left",7269.65917,"Yellow"
"bottom-right",6523.42785,"Green"
"center",13322.64209,"Orange"
"none",16539.417471,"white"
"top-left",2284.02392,"Red"
"top-right",8556.75562,"Blue"
"bottom-left",3187.55775,"Yellow"
"bottom-right",3637.33466,"Orange"
"center",16193.05674,"Green"
"none",8460.783879,"white"
"top-left",10194.62794,"Red"
"top-right",12792.19434,"Blue"
"bottom-left",2812.95528,"Yellow"
"bottom-right",11906.85603,"Green"
"center",9186.11171,"Blue"
"none",17250.15748,"white"
"top-left",5072.03747,"Red"
"top-right",8704.96506,"Orange"
"bottom-left",5747.21316,"Yellow"
"bottom-right",5266.78893,"Blue"
"center",19430.65409,"Green"
"none",12782.74864,"white"
"top-left",4661.90852,"Red"
"top-right",5611.37259,"Orange"
"bottom-left",3102.93072,"Orange"
"bottom-right",4045.20691,"Blue"
"center",8984.02629,"Yellow"
"none",9336.07133,"white"
"top-left",12344.43816,"Red"
"top-right",16605.52127,"Green"
"bottom-left",3598.95734,"Orange"
"bottom-right",4506.0811,"Yellow"
"center",13195.97091,"Blue"
"none",11762.17187,"white"
"top-left",5668.54678,"Red"
"top-right",9571.84642,"Green"
"bottom-left",7099.49682,"Green"
"bottom-right",3684.31731,"Orange"
"center",11363.59594,"Yellow"
"none",18274.23456,"white"
"top-left",3177.87501,"Red"
"top-right",14027.40732,"Blue"
"bottom-left",1484.87539,"Orange"
"bottom-right",7218.37483819,"Green"
"center",9734.9712,"Yellow"
"none",14858.85551,"white"
"top-left",5636.19981,"Red"
"top-right",15266.32525,"Blue"
"bottom-left",4276.806454,"Orange"
"bottom-right",8206.48476,"Yellow"
"center",16723.03581,"Green"
"none",18962.79791,"white"
"top-left",3536.05778,"Red"
"top-right",3590.20866,"Blue"
"bottom-left",5040.24342,"Orange"
"bottom-right",9915.92757,"Green"
"center",9215.0284,"Blue"
"none",16133.88296,"white"
"top-left",3650.46034,"Red"
"top-right",10469.99766,"Yellow"
"bottom-left",3547.08657,"Orange"
"bottom-right",7836.58957,"Blue"
"center",15686.42971,"Green"
"none",9497.97459,"white"
"top-left",10437.953998,"Red"
"top-right",7277.48571,"Yellow"
"bottom-left",3964.39567,"Red"
"bottom-right",6309.76901,"Yellow"
"center",10231.8844814,"Orange"
"none",16100.56969,"white"
"top-left",7879.50156,"Green"
"top-right",9699.33656,"Blue"
"bottom-left",6704.081752,"Red"
"bottom-right",6217.3774,"Orange"
"center",13856.66763,"Yellow"
"none",15393.61701,"white"
"top-left",4681.1543,"Green"
"top-right",7349.45755,"Blue"
"bottom-left",6824.69474,"Red"
"bottom-right",2457.0713,"Blue"
"center",14707.1801,"Orange"
"none",18004.34286,"white"
"top-left",6552.386865,"Green"
"top-right",5975.81973,"Yellow"
"bottom-left",5351.75665,"Red"
"bottom-right",2927.71057,"Orange"
"center",5423.5251749,"Blue"
"none",24808.17095,"white"
"top-left",3237.35299,"Green"
"top-right",9647.94555,"Yellow"
"bottom-left",1896.51509,"Red"
"bottom-right",7648.70148,"Blue"
"center",10694.789872,"Yellow"
"none",16052.773857,"white"
"top-left",2854.05248,"Green"
"top-right",15308.77809,"Orange"
"bottom-left",4825.36315,"Red"
"bottom-right",5567.85965,"Yellow"
"center",15351.68583,"Blue"
"none",11441.54971,"white"
"top-left",4557.99127,"Green"
"top-right",12593.7598949,"Orange"
"bottom-left",7209.73762,"Green"
"bottom-right",2380.78759,"Blue"
"center",9122.66202,"Orange"
"none",18169.96827,"white"
"top-left",9169.48551,"Red"
"top-right",5591.63125,"Yellow"
"bottom-left",2315.12219,"Blue"
"bottom-right",8042.01657,"Yellow"
"center",12741.80075,"Orange"
"none",17182.30422,"white"
"top-left",4458.28862,"Green"
"top-right",9649.99544,"Red"
"bottom-left",7768.44109,"Blue"
"bottom-right",1437.264004,"Orange"
"center",8737.9952,"Yellow"
"none",20273.78365,"white"
"top-left",7490.63097,"Green"
"top-right",8566.60865,"Red"
"bottom-left",8588.13798,"Blue"
"bottom-right",9120.67666,"Red"
"center",9424.639,"Orange"
"none",14277.26543,"white"
"top-left",6686.85072,"Green"
"top-right",9451.01871,"Yellow"
"bottom-left",7344.27872,"Blue"
"bottom-right",7611.59907,"Orange"
"center",13595.36333,"Red"
"none",19421.2599,"white"
"top-left",1762.47951,"Green"
"top-right",5817.30802,"Yellow"
"bottom-left",10169.51418,"Blue"
"bottom-right",3931.91931,"Red"
"center",12275.52915,"Yellow"
"none",18004.22647,"white"
"top-left",5798.21936,"Green"
"top-right",8396.2381,"Orange"
"bottom-left",3560.54159,"Blue"
"bottom-right",6892.36085,"Yellow"
"center",11317.95688,"Red"
"none",19888.144763,"white"
"top-left",4513.69639,"Green"
"top-right",8269.42113,"Orange"
"bottom-left",4388.971347,"Yellow"
"bottom-right",6506.963431,"Blue"
"center",19394.52526,"Orange"
"none",15383.786448,"white"
"top-left",5659.45663,"Green"
"top-right",5326.63672,"Red"
"bottom-left",644.53217,"Yellow"
"bottom-right",7797.19425,"Orange"
"center",14573.463437,"Blue"
"none",19764.47968,"white"
"top-left",6420.1797754,"Green"
"top-right",5280.5248,"Red"
"bottom-left",7446.31806,"Yellow"
"bottom-right",11345.15133,"Red"
"center",12192.44639,"Orange"
"none",11753.86393,"white"
"top-left",5575.60357,"Green"
"top-right",6409.45079,"Blue"
"bottom-left",5399.65457,"Yellow"
"bottom-right",8586.9249381,"Orange"
"center",16825.18554,"Red"
"none",12683.98643,"white"
"top-left",5122.76648,"Green"
"top-right",5779.82442,"Blue"
"bottom-left",6096.51606,"Green"
"bottom-right",4347.56882,"Orange"
"center",19835.98204,"Blue"
