x, y, time_span
474,194,16.8119
474,193,11.3861
474,193,21.1491
476,191,12.4002
477,190,8.4305
478,186,34.3414
478,186,13.7431
475,192,15.214
476,191,14.9102
475,195,10.3367
475,196,20.9423
476,196,11.3632
477,193,16.148
474,194,17.104
474,194,29.4952
477,192,14.8477
476,194,12.8914
473,196,10.3561
473,194,20.3014
474,191,11.8924
475,191,14.4948
473,192,20.69
473,201,7.26294
472,194,30.1742
471,194,12.2672
471,192,9.02025
471,192,18.3634
471,189,18.2884
471,193,13.4972
468,193,15.3475
466,196,14.5403
464,196,10.2119
463,197,36.2044
463,197,8.11076
463,197,16.8949
467,189,16.7737
468,179,13.056
469,181,15.3942
465,177,13.7151
452,157,9.57823
447,149,19.7638
445,147,31.3364
443,148,16.0013
442,152,15.2689
439,153,12.8093
436,156,14.3988
448,163,13.406
450,165,8.65548
454,171,18.2616
456,174,17.4527
461,182,32.2999
460,181,14.3043
459,179,11.3277
459,181,20.8286
460,180,12.334
462,180,7.67243
463,181,17.0489
462,181,15.4095
463,184,12.4547
466,186,30.345
466,186,9.83612
466,186,19.4717
468,177,18.6355
467,179,14.4345
464,182,17.8154
463,182,15.4097
462,180,11.4349
462,177,21.1607
462,176,25.5891
461,175,18.1957
459,179,17.8077
459,185,14.8247
486,214,16.6472
532,286,15.8071
550,416,10.4848
552,480,80.4842
538,484,14.0084
520,493,14.7451
519,493,14.5606
500,500,9.55432
493,502,20.6388
492,502,10.42
491,502,14.5059
488,502,32.6358
481,508,11.6509
462,505,21.9823
462,504,12.9887
450,496,8.12223
444,493,19.0639
443,492,17.6576
442,491,13.1128
441,489,15.3266
445,486,27.2909
447,485,20.2602
448,486,11.5147
447,487,15.9791
446,488,18.3597
447,485,17.7129
448,485,12.5544
446,484,14.3371
446,484,13.5099
445,487,29.7302
446,489,10.9973
445,489,15.1932
446,489,16.9614
446,490,16.4592
446,487,11.4144
443,483,21.2985
442,482,12.8642
441,479,8.42845
441,479,34.3184
440,481,14.0459
442,481,15.2719
442,481,14.8902
443,482,10.4219
440,484,21.4179
437,482,11.3351
438,483,15.7743
443,478,17.3808
445,479,29.2652
445,479,14.1207
439,481,13.1883
418,482,10.2891
251,482,20.3451
242,475,11.5007
255,465,14.9268
252,467,16.0278
263,462,16.4391
278,462,30.2714
280,460,12.2424
271,458,9.29532
251,458,18.5315
243,459,18.5634
226,464,13.3844
217,467,15.2441
194,473,17.3527
168,480,10.0773
149,480,36.3358
155,475,7.7606
155,474,16.9921
161,468,16.6062
146,462,12.4082
162,459,14.9568
161,460,13.2734
159,461,10.2707
166,460,18.705
163,464,31.2912
160,468,15.876
163,469,15.2981
164,469,12.5263
157,469,14.2051
155,470,13.9715
153,469,8.40026
152,472,17.9409
152,471,17.2437
151,471,32.2953
151,471,14.5255
167,471,11.2127
171,471,20.7863
172,471,12.5843
173,472,10.9201
172,473,17.1414
164,475,16.4492
162,476,12.6678
152,479,30.334
143,481,9.90036
142,481,20.6547
139,482,10.9029
139,482,14.5723
138,484,16.5851
139,484,15.7891
139,484,11.4658
139,483,21.1745
141,482,25.6717
144,472,18.1381
165,467,17.5777
201,245,14.5934
197,236,16.2795
195,213,15.4189
192,202,10.3471
192,175,20.1868
191,175,11.2727
174,175,34.1421
180,178,16.043
184,180,13.1592
186,179,14.5553
185,179,14.1471
181,174,9.16695
182,173,19.0117
180,175,18.3559
180,176,14.3076
178,394,33.3379
188,375,12.6848
202,400,12.0693
202,396,11.8587
186,406,17.435
187,428,17.3327
181,429,16.4571
179,429,14.3991
168,419,14.6841
162,422,28.5725
163,420,10.8745
154,439,17.8467
158,443,16.6915
170,451,17.76
181,458,15.4894
177,454,13.0957
176,454,18.5011
175,453,13.3225
171,450,28.3539
144,433,9.54494
139,434,15.2239
141,434,15.1878
150,438,14.4115
148,437,12.6006
148,450,12.9494
145,446,11.4452
145,445,17.9127
149,444,34.6873
163,449,14.0903
171,444,14.342
175,453,13.5601
175,452,11.1429
156,432,19.156
145,418,18.5374
163,434,16.532
176,445,16.439
189,484,30.0443
203,486,12.8881
198,478,12.5061
195,482,9.80572
192,468,17.977
177,452,17.1237
171,455,15.1226
184,455,15.7203
188,458,14.9965
190,424,30.1452
211,405,11.9896
231,386,17.5266
