,313 (30.4098) 
182,311 (10.8738) 
181,312 (10.3728) 
183,327 (10.439) 
192,334 (8.90095) 
182,310 (8.71947) 
183,313 (8.27711) 
187,316 (4.69748) 
199,322 (27.7404) 
201,316 (18.5023) 
200,315 (17.4056) 
195,317 (16.965) 
189,310 (15.5424) 
187,313 (15.5205) 
185,313 (15.2201) 
186,312 (12.5287) 
185,315 (13.7875) 
184,316 (12.6725) 
187,316 (25.5943) 
189,315 (8.56181) 
185,315 (6.1005) 
183,307 (21.9289) 
180,290 (21.9813) 
179,280 (19.65) 
186,283 (20.4401) 
209,294 (19.4825) 
213,303 (16.2881) 
230,315 (32.1659) 
224,323 (13.0875) 
225,319 (13.1327) 
219,328 (12.2896) 
214,316 (10.8474) 
210,317 (11.7304) 
194,316 (23.6699) 
177,329 (22.3089) 
189,337 (36.6378) 
157,345 (19.5227) 
94,412 (50.7648) 
74,430 (46.1465) 
82,436 (16.8188) 
123,445 (27.9569) 
122,445 (10.2867) 
133,474 (39.3295) 
132,474 (21.7192) 
106,455 (21.0027) 
106,456 (21.6184) 
104,456 (49.577) 
70,425 (29.9283) 
80,426 (14.0381) 
75,426 (12.1892) 
312,421 (12.9673) 
327,423 (12.7794) 
340,435 (9.89859) 
346,444 (8.5077) 
347,480 (22.6496) 
344,475 (21.479) 
345,473 (21.0935) 
365,483 (19.3096) 
354,481 (19.3484) 
361,481 (20.0102) 
370,493 (16.5183) 
374,487 (17.0022) 
376,487 (17.5883) 
372,479 (29.3919) 
356,467 (11.9582) 
362,473 (9.81166) 
354,464 (9.64814) 
349,461 (9.97428) 
360,469 (7.35131) 
359,468 (23.6586) 
359,465 (23.0585) 
372,474 (19.3878) 
354,462 (35.9943) 
357,456 (16.8457) 
356,457 (17.1616) 
354,456 (16.1928) 
358,458 (14.8122) 
357,454 (14.3985) 
355,453 (16.5255) 
358,454 (11.9485) 
358,453 (10.6295) 
351,448 (24.6508) 
327,422 (7.3164) 
273,374 (23.1199) 
278,374 (21.425) 
271,370 (21.4603) 
269,362 (20.7862) 
276,368 (19.6562) 
276,370 (18.1904) 
268,373 (17.5667) 
267,365 (31.3961) 
277,368 (13.808) 
280,358 (11.8569) 
270,356 (11.891) 
259,347 (11.7805) 
258,346 (9.95593) 
259,345 (9.86511) 
263,341 (12.0088) 
266,336 (5.56643) 
258,331 (39.5573) 
264,324 (18.6622) 
266,321 (18.278) 
273,334 (18.8021) 
267,332 (17.7281) 
252,311 (17.8084) 
201,262 (16.0206) 
187,247 (28.6645) 
158,196 (41.4882) 
158,193 (9.34694) 
116,155 (23.0304) 
128,169 (22.6535) 
121,172 (36.2861) 
125,183 (19.1317) 
134,204 (33.1736) 
123,205 (15.7506) 
130,210 (29.3456) 
126,209 (14.4911) 
130,208 (29.7104) 
131,209 (11.4556) 
136,208 (39.9244) 
146,211 (36.3942) 
146,209 (20.232) 
144,212 (34.9949) 
140,216 (18.0436) 
140,217 (15.9052) 
144,208 (14.5254) 
252,303 (28.5142) 
264,321 (11.2495) 
259,301 (10.8217) 
287,311 (25.6778) 
271,264 (10.0129) 
272,264 (22.5277) 
278,232 (20.9212) 
275,227 (35.0576) 
254,216 (17.4508) 
268,224 (15.8589) 
280,225 (15.4546) 
276,217 (15.6469) 
283,226 (13.6141) 
294,230 (13.8286) 
288,228 (13.7078) 
297,253 (9.67146) 
275,204 (25.4385) 
281,214 (6.56706) 
276,207 (22.4476) 
282,221 (21.8722) 
287,234 (20.3787) 
288,237 (20.423) 
290,241 (20.9249) 
289,250 (17.6305) 
286,250 (16.1195) 
283,244 (30.5954) 
299,229 (13.5214) 
267,209 (15.0514) 
276,223 (12.183) 
277,219 (12.5459) 
281,232 (12.2981) 
294,245 (10.4449) 
282,237 (10.4259) 
282,236 (10.7966) 
305,253 (21.1619) 
296,242 (19.6966) 
310,239 (18.1744) 
296,232 (17.6234) 
291,225 (17.7605) 
302,236 (15.1726) 
309,245 (15.5856) 
296,233 (15.0988) 
285,237 (12.191) 
258,230 (27.819) 
281,240 (8.39378) 
283,253 (8.31749) 
277,227 (8.02696) 
281,230 (22.9015) 
280,229 (22.9043) 
308,265 (20.7163) 
300,254 (25.1496) 
309,263 (16.3199) 
311,248 (15.4003) 
334,236 (14.8048) 
354,216 (13.2617) 
371,200 (13.4685) 
370,197 (13.6617) 
370,208 (11.2068) 
367,221 (10.3919) 
370,203 (9.51636) 
369,229 (23.3992) 
368,223 (21.2919) 
366,204 (19.4952) 
378,215 (19.4702) 
377,216 (19.178) 
389,245 (17.9363) 
384,233 (17.5902) 
388,240 (16.8759) 
392,242 (13.6362) 
392,236 (29.7522) 
392,238 (10.3167) 
375,212 (11.2133) 
361,170 (9.96058) 
362,169 (9.66748) 
366,178 (8.40189) 
370,190 (9.34727) 
368,185 (20.4199) 
368,208 (34.866) 
369,199 (17.3292) 
372,204 (16.6769) 
377,211 (14.9169) 
381,226 (15.3555) 
379,220 (14.7349) 
390,233 (12.6875) 
392,237 (13.866) 
384,223 (11.8404) 
376,214 (31.5171) 
294,82 (233.819) 
327,263 (22.4545) 
327,263 (36.3724) 
324,244 (19.1564) 
304,202 (18.5832) 
318,239 (16.7248) 
309,211 (18.1231) 
311,216 (16.6099) 
311,216 (29.9778) 
308,209 (12.4868) 
325,231 (27.8014) 
322,232 (9.65399) 
306,215 (23.3606) 
305,215 (23.9463) 
313,229 (21.0462) 
309,226 (21.9779) 
312,227 (22.8194) 
313,228 (49.8273) 
316,224 (30.2557) 
319,224 (13.8727) 
318,226 (28.1336) 
314,230 (12.4773) 
298,229 (9.55065) 
266,216 (8.61521) 
242,207 (22.3979) 
250,210 (21.1554) 
253,214 (20.8328) 
260,227 (18.7354) 
291,284 (19.0479) 
287,277 (19.5849) 
270,249 (33.1704) 
245,207 (15.6885) 
233,180 (29.3104) 
248,195 (11.7493) 
270,222 (10.2758) 
283,248 (9.99257) 
281,249 (10.341) 
277,252 (7.96346) 
290,272 (23.9693) 
296,264 (22.965) 
300,266 (19.5855) 
302,262 (35.8418) 
302,247 (16.9648) 
297,230 (16.912) 
297,226 (16.0403) 
297,227 (14.4523) 
292,226 (14.3884) 
291,214 (14.1521) 
290,227 (11.8957) 
287,220 (10.7216) 
298,236 (24.5685) 
302,233 (7.39911) 
300,240 (24.5091) 
309,261 (6.50071) 
308,257 (22.471) 
303,251 (21.2217) 
317,261 (20.025) 
314,262 (19.5043) 
305,258 (19.7886) 
267,257 (31.2205) 
257,255 (13.7543) 
263,249 (11.7754) 
250,249 (11.5529) 
247,244 (11.4595) 
239,243 (9.85133) 
232,252 (9.45516) 
235,251 (9.21808) 
238,252 (5.33567) 
241,249 (37.8109) 
243,254 (18.7932) 
248,258 (18.2824) 
246,255 (18.3178) 
253,270 (16.855) 
250,268 (16.6487) 
247,260 (16.1435) 
248,259 (14.3297) 
244,245 (12.4735) 
248,249 (26.5239) 
247,246 (9.2981) 
248,247 (9.12302) 
245,249 (7.42465) 
242,242 (23.0156) 
241,243 (22.897) 
234,244 (21.0379) 
229,246 (21.4234) 
232,251 (19.832) 
229,252 (33.2606) 
230,253 (15.9257) 
233,252 (13.6167) 
260,256 (13.5015) 
266,257 (13.565) 
274,260 (11.3684) 
281,263 (12.239) 
276,258 (11.1487) 
278,260 (7.27272) 
276,259 (39.6231) 
275,260 (20.2269) 
269,262 (20.5505) 
274,262 (20.2031) 
286,265 (19.7654) 
290,270 (19.1212) 
286,274 (19.1925) 
280,273 (14.6557) 
271,277 (14.7441) 
235,272 (28.5422) 
225,267 (11.5345) 
218,261 (11.2371) 
